topic_name,mean,median,std_dev,variance,std error,mean-squared error
ukf_.4speed_1_t2_odom,-0.35071870,-0.43853631,0.51224332,0.26239322,0.00121347,0.00000000
ukf_.4speed_1_t2_dist_filtered,-0.36970545,-0.48331193,0.51408228,0.26428059,0.01220334,0.05422640
ukf_.4speed_1_t2_self_filtered,-0.16322278,-0.23713645,0.51639457,0.26666336,0.01231336,0.24367525
