topic_name,mean,median,std_dev,variance,std error,mean-squared error
ukf_.2speed_t2_dist_filtered,-0.12862391,-0.04862168,0.35563503,0.12647627,0.00575486,0.06236659
ukf_.2speed_t2_self_filtered,0.01150742,0.05138610,0.34697663,0.12039278,0.00547806,0.15031287
ukf_.2speed_t2_odom,-0.11176710,-0.05676764,0.36239760,0.13133202,0.00059872,0.00000000
