topic_name,mean,median,std_dev,variance,std error,mean-squared error
ekf_.2speed_t2_dist_filtered_odom,0.15657355,0.17653300,0.29583771,0.08751995,0.00411659,0.06308784
ekf_.2speed_t2_odom,0.14179885,0.13781511,0.32799524,0.10758087,0.00050620,0.00000000
ekf_.2speed_t2_self_filtered_odom,0.16120558,0.17962422,0.29540866,0.08726628,0.00410012,0.09212835
