rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,child_frame_id,pose,pose,position,x,y,z,orientation,x,y,z,w,covariance,twist,twist,linear,x,y,z,angular,x,y,z,covariance
8491000000,,69,,8,491000000,turtlebot2/odom,turtlebot2/base_footprint_self,,,,1.05777841445e-05,-5.8654826555e-16,-5.95773849649e-20,,-3.49608982149e-19,4.44243875278e-19,2.20384968931e-15,1.0,"[0.04635937696101841, -2.16740471977323e-19, -2.629508810046255e-27, -3.14283978253238e-31, 4.902087019874251e-31, 7.018876684849607e-28, -2.16740471977323e-19, 0.04630903569821448, -6.627794329243054e-28, 5.993355560276591e-32, -4.2470357765035805e-32, 2.824287915328316e-28, -2.6295088100403775e-27, -6.627794329360603e-28, 0.009061999495235295, -2.666677762697291e-36, 1.8621974819668255e-36, 1.693756442514027e-33, -3.142839782531483e-31, 5.993355560274349e-32, -2.6666777669011865e-36, 0.004531998991041357, -1.7783484737592116e-36, -1.6623773806399734e-29, 4.902087019874251e-31, -4.2470357765035805e-32, 1.86219748231715e-36, -1.7783484737592116e-36, 0.004531998991041358, -1.9121038571216177e-29, 7.0188766848496065e-28, 2.824287915328316e-28, 1.6937564425168297e-33, -1.6623773800522262e-29, -1.9121038565338705e-29, 0.05556100022687426]",,,,6.32922682855e-05,5.85421989597e-22,-1.46997328271e-18,,1.7718190072e-18,3.28896763987e-18,-4.48431289977e-41,"[0.004261772923738754, -4.454793216929171e-30, 1.9994708042778075e-27, -6.327964643208343e-32, -1.513010929007125e-31, -3.7036641014805423e-42, -4.454793216929171e-30, 0.00377500199999886, 9.272555018637892e-33, 2.796281276470922e-38, 4.0348169623465617e-38, -1.6988092497345996e-47, 1.9994708042773728e-27, 9.272555018234318e-33, 0.006041999231565739, -3.433674807985581e-35, -5.576531236641995e-35, -4.607846360198945e-48, -6.327964643203859e-32, 2.796281276470922e-38, -3.4336748085461e-35, 0.0015119969569133286, 7.72399570862096e-35, -1.6665345596992686e-32, -1.5130109290062282e-31, 4.0348169623465617e-38, -5.576531236641995e-35, 7.724478443330233e-35, 0.0015119969569133286, -1.9120380085499757e-32, -3.7036641014805423e-42, -1.699343802676618e-47, -4.602500830778761e-48, -1.6665345597892998e-32, -1.912038008399064e-32, 0.0030200019999984803]"
8591000000,,70,,8,591000000,turtlebot2/odom,turtlebot2/base_footprint_self,,,,2.48949108218e-06,1.44252798021e-14,-1.31467101319e-19,,-5.00951641266e-19,9.83380744753e-20,-3.40527783585e-15,1.0,"[0.05146560963973935, -2.0295271176841766e-19, -8.507808216676242e-28, -3.8050752655629234e-32, 1.0389706048374037e-32, 5.358551975531141e-28, -2.0295271176841769e-19, 0.051411279091542486, -1.9714669335066286e-28, -1.3360083360359231e-31, 5.414374290964535e-32, -3.140069929666283e-28, -8.507808216617467e-28, -1.9714669335066286e-28, 0.00612199966899646, 2.236001507173201e-36, -4.4632314857154715e-37, 3.0221706638592825e-32, -3.8050752655651655e-32, -1.3360083360363715e-31, 2.236001507173201e-36, 0.003061999338237184, 9.864785320693906e-36, -6.022969860428252e-30, 1.0389706048371935e-32, 5.414374290963414e-32, -4.463231482212225e-37, 9.867724056570962e-36, 0.003061999338237184, -4.8835577671472515e-30, 5.358551975531141e-28, -3.1400699296662825e-28, 3.022170663866009e-32, -6.022969857489516e-30, -4.8835577671472515e-30, 0.061681000247682284]",,,,-6.33810841292e-05,5.48721737579e-22,1.02725564879e-18,,-4.31129581368e-18,-3.69499972193e-18,7.53397667277e-41,"[0.0029024092253674754, -2.676657471974211e-31, 5.361567522121216e-28, 1.5447058048404255e-33, 5.302509769978063e-33, -2.180236335847449e-43, -2.6766574572805315e-31, 0.002550001999999231, 2.3802199388161002e-33, -5.298811718981747e-38, -3.748769346304551e-38, -1.3905058404254648e-48, 5.3615675221239335e-28, 2.3802199385918924e-33, 0.004081999500144072, -5.402286806000456e-35, -4.247463811489184e-35, -2.706174268968348e-49, 1.544705804837623e-33, -5.29881396105929e-38, -5.402286803758378e-35, 0.0010219980107443927, 1.5302213527487176e-34, -6.1118345472876286e-33, 5.302509769989273e-33, -3.7487704673433225e-38, -4.247463811489184e-35, 1.5302890475717633e-34, 0.0010219980107443924, -4.8098622522223795e-33, -2.1802363425293607e-43, -1.3905058404254648e-48, -2.706174268968348e-49, -6.111834547704433e-33, -4.80986225298928e-33, 0.0020400019999990125]"
8692000000,,71,,8,692000000,turtlebot2/odom,turtlebot2/base_footprint_self,,,,3.02461580801e-06,1.58930792054e-15,-1.30847981115e-18,,-5.16087522156e-19,7.48484931675e-19,-5.17348833055e-15,1.0,"[0.05642167464441855, -1.8136578319509203e-19, -2.543223221308059e-28, -2.8789159377629324e-31, 5.174343411187132e-31, 4.306569051660346e-28, -1.81365783195092e-19, 0.05636361478934438, -4.496549631604932e-28, 9.109867122587716e-32, -1.5966070874055822e-31, -2.7159078503001165e-29, -2.5432232213300995e-28, -4.496549631575544e-28, 0.005941999510071806, 2.046365421591691e-35, -2.6727197530568276e-35, 2.7149528176664603e-34, -2.878915937763829e-31, 9.109867122589958e-32, 2.046365421591691e-35, 0.0029719990206786267, -9.570911738593528e-36, -1.813444501866809e-30, 5.174343411188029e-31, -1.5966070874060306e-31, -2.6727197530568276e-35, -9.573850474470584e-36, 0.0029719990206786267, -9.637253818567496e-30, 4.306569051660346e-28, -2.7159078503001165e-29, 2.714952817668212e-34, -1.813444502234151e-30, -9.63725381562876e-30, 0.06762100026728429]",,,,3.22719933152e-06,-1.8431822969e-21,7.1753427452e-19,,-2.51521775147e-18,-3.35463074388e-18,-1.24591827906e-40,"[0.0028085686861465064, 1.6631799770321145e-29, 1.56424085831468e-28, -5.564167799032826e-32, -7.109107804049793e-32, 7.618746569639617e-43, 1.6631799770321145e-29, 0.0024750019999988685, 4.7271569790836395e-33, 6.27927559161685e-38, 4.6887665218868814e-38, 5.139726537507292e-48, 1.5642408583141598e-28, 4.727156978724907e-33, 0.003961999260509756, -1.63511573718185e-35, -2.59581115662961e-35, 1.1813620018607505e-48, -5.56416779903731e-32, 6.27927559161685e-38, -1.6351157366213305e-35, 0.0009919970588251812, 8.08767926057394e-35, -1.885302556115549e-33, -7.109107804049793e-32, 4.6887659613674957e-38, -2.5958111571901295e-35, 8.087486416681877e-35, 0.0009919970588251807, -9.604065904134756e-33, 7.618746569639617e-43, 5.139726537507292e-48, 1.1813620018607505e-48, -1.885302556204047e-33, -9.604065903867959e-33, 0.001980001999998533]"
8791000000,,72,,8,791000000,turtlebot2/odom,turtlebot2/base_footprint_self,,,,1.5586110332e-05,-1.07798259569e-14,8.69595212276e-19,,-4.21124315534e-19,-8.88640655335e-19,6.43666078291e-15,1.0,"[0.06388846027204616, -2.860656359863419e-19, -5.833989971737925e-27, -1.68233356751603e-31, -2.3498367881026144e-31, 1.4738079003132062e-27, -2.860656359863419e-19, 0.0638198515767866, -1.3808864389472611e-27, 7.199775875142243e-32, 2.605280202642203e-31, -1.0483581695065084e-27, -5.833989971737925e-27, -1.3808864389531386e-27, 0.008941999495235192, -8.617826597905026e-36, -1.667581850693057e-35, 1.0426082093697023e-31, -1.6823335675164784e-31, 7.199775875141122e-32, -8.617826597905026e-36, 0.004471998991041079, 3.4245548330390305e-35, -3.35799181350319e-29, -2.3498367881026144e-31, 2.605280202642203e-31, -1.6675818484509794e-35, 3.422203844337386e-35, 0.004471998991041079, -2.3447293446897232e-29, 1.4738079003132062e-27, -1.0483581695065084e-27, 1.0426082093697023e-31, -3.357991814678684e-29, -2.344729345571344e-29, 0.07656100031168626]",,,,9.09235018243e-05,-2.72658085546e-21,-1.28884633313e-18,,4.61495667177e-18,-1.16398806231e-18,4.54575353331e-40,"[0.0042073828612589365, 2.9758621734145755e-30, 3.943515546406542e-27, 6.343859301838331e-33, -2.6896221987467293e-33, -2.891751090230295e-42, 2.9758621734145755e-30, 0.0037250019999988645, 1.1092244085628075e-32, -7.681853161179903e-38, -2.4551731755518903e-39, -1.3395896726982085e-47, 3.943515546406273e-27, 1.1092244085650496e-32, 0.005961999231868216, -6.888981604978945e-35, 9.129768089023997e-36, -3.193953828560174e-48, 6.343859301843937e-33, -7.681853161179903e-38, -6.888981603857907e-35, 0.0014919969575173386, -2.7817663542847646e-35, -3.348694419575239e-32, -2.689622198749532e-33, -2.4551731317613133e-39, 9.129768089023997e-36, -2.781851481484914e-35, 0.0014919969575173382, -2.3089573495932368e-32, -2.8917510875575305e-42, -1.3393223962271992e-47, -3.192617446205128e-48, -3.348694419562844e-32, -2.3089573496848346e-32, 0.0029800019999984676]"
8892000000,,73,,8,891000000,turtlebot2/odom,turtlebot2/base_footprint_self,,,,4.95739366964e-06,-3.52722526427e-14,-1.91886565905e-19,,1.7308593592e-19,-9.8972885982e-19,1.22813876288e-14,1.0,"[0.0688958740355117, -1.7101543932952588e-19, 1.8857120937832412e-27, -2.0393066597612906e-32, 1.416352878415523e-32, 1.5316261571464584e-27, -1.7101543932952597e-19, 0.06882327943620982, -3.7655768721854233e-28, -1.4801839572452919e-31, 4.565418009797642e-31, -2.0267282670783982e-27, 1.8857120937832412e-27, -3.7655768721266486e-28, 0.006001999664555063, -6.690887929827181e-37, 9.517247702286847e-36, -3.954629167159438e-33, -2.0393066597612906e-32, -1.4801839572448435e-31, -6.690887873775242e-37, 0.003001999329361007, -6.329385046034258e-35, 1.19225475146134e-29, 1.4163528784110388e-32, 4.565418009797642e-31, 9.517247657445296e-36, -6.328209551683435e-35, 0.0030019993293610046, -5.797390443267813e-30, 1.5316261571464584e-27, -2.0267282670783982e-27, -3.954629167159438e-33, 1.1922547496980985e-29, -5.797390443267813e-30, 0.08256100033168624]",,,,-9.09815498848e-05,-1.89972722832e-22,-1.85009228673e-18,,-2.41623305832e-18,-2.02583383927e-18,2.42615429076e-40,"[0.002845807372636451, 4.04983138112527e-30, -1.0218962621002221e-27, -4.847647231793986e-32, -8.054587313299074e-32, 2.439599986703764e-42, 4.049831357615383e-30, 0.002500001999999208, 2.78558994244251e-33, -1.2887854080272489e-38, -1.0751832410326741e-38, 1.5854840260266905e-47, -1.0218962620998347e-27, 2.7855899427115593e-33, 0.00400199949357376, 2.9182192196110094e-35, 4.182671427327277e-35, 2.790366357336252e-48, -4.8476472318029543e-32, -1.2887854080272489e-38, 2.9182192196110094e-35, 0.001001997984373001, 1.1707264007357135e-34, 1.1908494690975318e-32, -8.054587313317011e-32, -1.0751832410326741e-38, 4.182671427327277e-35, 1.1708109296374707e-34, 0.0010019979843730001, -5.6434057849388865e-33, 2.439599986703764e-42, 1.5854840260266905e-47, 2.790366357336252e-48, 1.1908494691968282e-32, -5.6434057857684826e-33, 0.002000001999998986]"
8991000000,,74,,8,991000000,turtlebot2/odom,turtlebot2/base_footprint_self,,,,1.64421640836e-05,-3.76315814517e-15,-5.24149551137e-21,,3.36262559774e-19,-2.67067152628e-19,6.05628619067e-15,1.0,"[0.07390322383846024, -8.169779551637852e-20, 3.065981058719981e-27, -3.560416861956634e-32, 1.8033133234939105e-32, 1.7045878759267335e-27, -8.169779551637852e-20, 0.07382678040390447, 2.5137319623036462e-28, 2.2302524809680836e-31, -1.149120641646921e-31, -3.854753243863562e-27, 3.0659810587082262e-27, 2.513731962310993e-28, 0.006001999500278792, -2.118810697999156e-37, 9.24918599445908e-37, 1.0269106768011801e-32, -3.5604168619573347e-32, 2.230252480967635e-31, -2.118810697999156e-37, 0.0030019990011141383, -2.307764029910802e-35, 1.9698320399767818e-29, 1.8033133234939105e-32, -1.149120641646921e-31, 9.24918599445908e-37, -2.3065885355599798e-35, 0.003001999001114138, 3.599034441842075e-30, 1.704587875926734e-27, -3.854753243863562e-27, 1.0269106768014604e-32, 1.9698320399767818e-29, 3.599034440372707e-30, 0.08856100035168632]",,,,0.000121668046998,4.41164813198e-22,4.94260854272e-19,,-4.85441118711e-18,-5.1265113799e-20,1.27947385707e-40,"[0.002836361223964592, 1.6904057145389672e-29, -1.644684364933513e-27, -8.572433484043221e-32, 5.8139507995081655e-33, 2.8537889417315602e-42, 1.6904057145389672e-29, 0.0025000019999988875, -1.6920493194544126e-33, -9.061536876952202e-38, 3.672178646204873e-39, 1.9094231088898646e-47, -1.644684364933078e-27, -1.692049319319888e-33, 0.004001999245633072, -3.649333252117613e-35, 8.875990737096183e-38, 4.0492385357896764e-48, -8.572433484052189e-32, -9.061535755913431e-38, -3.6493332543596904e-35, 0.0010019969999987774, -2.7635476706372885e-35, 1.9746242538923705e-32, 5.8139507995081655e-33, 3.672178646204873e-39, 8.875990737096183e-38, -2.764480251721008e-35, 0.0010019969999987778, 3.4532674454200695e-33, 2.8537889417315602e-42, 1.9094231088898646e-47, 4.0492385357896764e-48, 1.974624254030556e-32, 3.453267445657761e-33, 0.0020000019999985284]"
9091000000,,75,,9,91000000,turtlebot2/odom,turtlebot2/base_footprint_self,,,,7.98986450895e-06,-4.11816986454e-14,-4.06900401014e-19,,4.57547384351e-19,3.94160606518e-20,-4.97973712728e-15,1.0,"[0.07901106995272693, -3.311063389719098e-20, 8.912027194799073e-28, 4.932128999679696e-33, -5.7562716826171635e-33, 1.1191458789301014e-27, -3.311063389719098e-20, 0.07893067415528773, 5.525830120847492e-28, -2.4765906218801623e-31, 4.7560567381449405e-33, -5.064557700354485e-28, 8.912027194799073e-28, 5.525830120788717e-28, 0.006121999500278653, -6.353955181252703e-36, -4.073927086878744e-37, 1.1436589111470798e-31, 4.9321289996846005e-33, -2.4765906218801623e-31, -6.353955181252703e-36, 0.0030619990011141224, 2.0509813635081986e-35, 5.443612602560686e-30, -5.7562716826171635e-33, 4.756056738150546e-33, -4.073927086878744e-37, 2.0509813635081986e-35, 0.003061999001114123, 6.940413283444451e-30, 1.1191458789301015e-27, -5.064557700354485e-28, 1.1436589111475282e-31, 5.443612600356634e-30, 6.940413284913819e-30, 0.09468100037249425]",,,,-9.11771993886e-05,4.59909851062e-22,1.32240821201e-18,,2.62515065671e-18,-1.5098100298e-18,6.09747825142e-41,"[0.002892583303692042, -6.212284401122532e-30, -4.693215341305372e-28, -2.590749738632357e-32, 8.580444591739827e-33, 1.5958540991892007e-42, -6.212284412877476e-30, 0.002550001999998819, -3.413574941074876e-33, 6.715210575558129e-38, -2.5631447286239666e-38, 1.0461201075300854e-47, -4.693215341305548e-28, -3.413574941411188e-33, 0.00408199924543126, 4.987515003863124e-35, -2.54069290938911e-35, 2.171621326949909e-48, -2.590749738632357e-32, 6.7152116965969e-38, 4.987515004984163e-35, 0.001021996999593331, -2.8202928109614953e-35, 5.543567423161337e-33, 8.580444591739827e-33, -2.5631447286239666e-38, -2.5406929099496296e-35, -2.820051035969135e-35, 0.0010219969995933305, 6.97986776128346e-33, 1.5958540991892007e-42, 1.0463873840010946e-47, 2.171621326949909e-48, 5.5435674230394566e-33, 6.979867760572104e-33, 0.0020400019999984704]"
9191000000,,76,,9,191000000,turtlebot2/odom,turtlebot2/base_footprint_self,,,,8.15833682045e-06,-9.44768829581e-15,3.57992401796e-19,,-1.75884590137e-19,-5.10139739935e-19,1.09407667151e-14,1.0,"[0.08396868164237921, -3.2421498099894614e-20, -1.2371501901766511e-28, 4.720027274646208e-32, 6.955474227635685e-32, -5.684599881716859e-28, -3.2421498099894614e-20, 0.08388458472360034, 7.470321043642602e-28, -1.1529468190634326e-31, -2.435226197585463e-31, 3.5585030298556896e-27, -1.2371501901803246e-28, 7.470321043613215e-28, 0.005941999510071789, -3.0055197215748755e-36, -6.414262997786503e-36, 9.625118198460154e-32, 4.720027274645647e-32, -1.1529468190634326e-31, -3.005519720173577e-36, 0.0029719990206785187, 3.651448203863849e-36, -8.851041413423508e-31, 6.955474227635685e-32, -2.435226197584566e-31, -6.414263020207279e-36, 3.663203147372072e-36, 0.002971999020678518, 8.472700396109166e-30, -5.6845998817168585e-28, 3.5585030298556896e-27, 9.625118198442217e-32, -8.851041414341863e-31, 8.472700399047902e-30, 0.10062100039209627]",,,,8.49127578673e-06,1.90775388014e-22,1.4215577366e-18,,4.90500979979e-18,-3.93858942978e-18,-8.65581868039e-41,"[0.0028088860393234083, -2.290713291591472e-29, 6.235945261446288e-29, 7.891126168357595e-32, -7.351598999552816e-32, 7.057172951961265e-43, -2.2907132962934495e-29, 0.0024750019999988807, -4.293773418087803e-33, 3.891471976717533e-38, -3.6249478113998816e-38, 4.750839272188878e-48, 6.235945261445102e-29, -4.2937734178635955e-33, 0.003961999260509712, 1.0590003625330005e-34, -7.287762796855258e-35, 9.56181575035483e-49, 7.891126168357595e-32, 3.8914714161981474e-38, 1.0590003625330005e-34, 0.0009919970588222768, -1.7720108807217685e-34, -7.556707895761353e-34, -7.351598999543848e-32, -3.6249483719192673e-38, -7.28776279461318e-35, -1.7719574867661227e-34, 0.000991997058822277, 8.771938733943387e-33, 7.057172951961265e-43, 4.750839272188878e-48, 9.56849766213006e-49, -7.5567078964888825e-34, 8.771938733456903e-33, 0.0019800019999985327]"
9291000000,,77,,9,291000000,turtlebot2/odom,turtlebot2/base_footprint_self,,,,9.44524486817e-06,-3.09288069066e-14,-7.07900077042e-19,,-5.68192033797e-19,8.36794415048e-20,2.57106184224e-14,1.0,"[0.08897660702036794, -6.181399484308545e-20, 1.7344319599526203e-27, 5.046890256525633e-32, -3.2166292289924325e-33, -1.6023955538122367e-27, -6.18139948430854e-20, 0.0888887542154476, -3.222681650500539e-28, 3.2878460568551353e-31, 1.0000962939472542e-32, 1.2715932514141123e-27, 1.7344319599526203e-27, -3.2226816504711517e-28, 0.0060019994952338245, 1.5658941983383088e-35, -3.658243287891354e-36, -1.9006837601342946e-31, 5.046890256526754e-32, 3.287846056856032e-31, 1.5658941960962313e-35, 0.0030019989910355796, 2.382709830171442e-35, 9.995108178174359e-30, -3.2166292289924325e-33, 1.0000962939478147e-32, -3.6582432850887574e-36, 2.3838853245222642e-35, 0.0030019989910355796, -3.458474307378473e-30, -1.6023955538122367e-27, 1.2715932514141123e-27, -1.9006837601333977e-31, 9.995108178174359e-30, -3.458474306643789e-30, 0.10662100041209623]",,,,1.53536089123e-05,-1.82784490267e-21,-1.42524014846e-18,,4.93673446298e-19,-2.03904943136e-18,-1.26206649299e-40,"[0.002836231380356197, -2.881107219486882e-30, -8.530669367372692e-28, 1.0489785043852523e-33, -3.186633519162394e-33, -1.0963151793751471e-42, -2.881107219486882e-30, 0.002500001999998838, 1.7318291103807917e-33, -7.365250652512829e-39, 2.995407189549943e-38, -7.331393599782893e-48, -8.53066936737175e-28, 1.7318291104704748e-33, 0.0040019992380195425, -2.1833856482485153e-36, 4.473850152172214e-35, -1.4813798405685994e-48, 1.0489785043852523e-33, -7.365250652512829e-39, -2.1833856484236776e-36, 0.0010019969697945747, -3.039833937986147e-35, 1.028044096997471e-32, -3.186633519156789e-33, 2.995407750069329e-38, 4.473850152172214e-35, -3.0379974685258035e-35, 0.0010019969697945747, -3.544462778175863e-33, -1.0963151793751471e-42, -7.334066364492985e-48, -1.4813798405685994e-48, 1.028044096818337e-32, -3.544462778453227e-33, 0.002000001999998478]"
9391000000,,78,,9,391000000,turtlebot2/odom,turtlebot2/base_footprint_self,,,,9.44524486817e-06,-3.09288069066e-14,-7.07900077042e-19,,-5.68192033797e-19,8.36794415048e-20,2.57106184224e-14,1.0,"[0.08897660702036794, -6.181399484308545e-20, 1.7344319599526203e-27, 5.046890256525633e-32, -3.2166292289924325e-33, -1.6023955538122367e-27, -6.18139948430854e-20, 0.0888887542154476, -3.222681650500539e-28, 3.2878460568551353e-31, 1.0000962939472542e-32, 1.2715932514141123e-27, 1.7344319599526203e-27, -3.2226816504711517e-28, 0.0060019994952338245, 1.5658941983383088e-35, -3.658243287891354e-36, -1.9006837601342946e-31, 5.046890256526754e-32, 3.287846056856032e-31, 1.5658941960962313e-35, 0.0030019989910355796, 2.382709830171442e-35, 9.995108178174359e-30, -3.2166292289924325e-33, 1.0000962939478147e-32, -3.6582432850887574e-36, 2.3838853245222642e-35, 0.0030019989910355796, -3.458474307378473e-30, -1.6023955538122367e-27, 1.2715932514141123e-27, -1.9006837601333977e-31, 9.995108178174359e-30, -3.458474306643789e-30, 0.10662100041209623]",,,,1.53536089123e-05,-1.82784490267e-21,-1.42524014846e-18,,4.93673446298e-19,-2.03904943136e-18,-1.26206649299e-40,"[0.002836231380356197, -2.881107219486882e-30, -8.530669367372692e-28, 1.0489785043852523e-33, -3.186633519162394e-33, -1.0963151793751471e-42, -2.881107219486882e-30, 0.002500001999998838, 1.7318291103807917e-33, -7.365250652512829e-39, 2.995407189549943e-38, -7.331393599782893e-48, -8.53066936737175e-28, 1.7318291104704748e-33, 0.0040019992380195425, -2.1833856482485153e-36, 4.473850152172214e-35, -1.4813798405685994e-48, 1.0489785043852523e-33, -7.365250652512829e-39, -2.1833856484236776e-36, 0.0010019969697945747, -3.039833937986147e-35, 1.028044096997471e-32, -3.186633519156789e-33, 2.995407750069329e-38, 4.473850152172214e-35, -3.0379974685258035e-35, 0.0010019969697945747, -3.544462778175863e-33, -1.0963151793751471e-42, -7.334066364492985e-48, -1.4813798405685994e-48, 1.028044096818337e-32, -3.544462778453227e-33, 0.002000001999998478]"
