topic_name,mean,median,std_dev,variance,std error,mean-squared error
ukf_.4speed_2_t2_dist_filtered,0.11055809,0.09926344,0.57940788,0.33571349,0.01817990,0.09250913
ukf_.4speed_2_t2_odom,0.10797334,0.06716638,0.63873298,0.40797982,0.00220995,0.00000000
ukf_.4speed_2_t2_self_filtered,0.18366836,0.14062610,0.57182203,0.32698044,0.01770698,0.13489738
